Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,10000.0,0,146.43,0.0
2022-11-18,10000.0,0,152.31,0.0
2022-11-21,10000.0,0,150.16,0.0
2022-11-22,10000.0,0,148.13,0.0
2022-11-23,10000.0,0,149.45,0.0
2022-11-25,10000.0,0,148.31,0.0
2022-11-28,10000.0,0,145.14,0.0
2022-11-29,10000.0,0,144.29,0.0
2022-11-30,10000.0,0,141.4,0.0
2022-12-01,10000.0,0,148.21,0.0
2022-12-02,10000.0,0,145.96,0.0
2022-12-05,10000.0,0,147.77,0.0
2022-12-06,10000.0,0,147.07,0.0
2022-12-07,10000.0,0,142.19,0.0
2022-12-08,10000.0,0,142.36,0.0
2022-12-09,10000.0,0,142.34,0.0
2022-12-12,10000.0,0,142.7,0.0
2022-12-13,10000.0,0,149.5,0.0
2022-12-14,10000.0,0,145.35,0.0
2022-12-15,10000.0,0,141.11,0.0
2022-12-16,9043.17,7,136.69,956.83
2022-12-19,8097.4,14,135.11,1891.54
2022-12-20,7309.06,20,131.39,2627.8
2022-12-21,6644.16,25,132.98,3324.5
2022-12-22,5972.41,30,134.35,4030.5
2022-12-23,5317.81,35,130.92,4582.2
2022-12-27,4792.29,39,131.38,5123.82
2022-12-28,4273.61,43,129.67,5575.81
2022-12-29,3889.64,46,127.99,5887.54
2022-12-30,3504.41,49,128.41,6292.09
2023-01-03,3113.57,52,130.28,6774.56
2023-01-04,2859.79,54,126.89,6852.06
2023-01-05,2605.53,56,127.13,7119.28
2023-01-06,2353.51,58,126.01,7308.58
2023-01-09,2092.57,60,130.47,7828.2
2023-01-10,1832.05,62,130.26,8076.12
2023-01-11,1700.8,63,131.25,8268.75
2023-01-12,2504.08,57,133.88,7631.16
2023-01-13,3296.26,51,132.03,6733.53
2023-01-17,3970.41,46,134.83,6202.18
2023-01-18,4654.51,41,136.82,5609.62
2023-01-19,5190.83,37,134.08,4960.96
2023-01-20,5731.95,33,135.28,4464.24
2023-01-23,6146.31,30,138.12,4143.6
2023-01-24,6567.24,27,140.31,3788.37
2023-01-25,6989.91,24,140.89,3381.36
2023-01-26,7276.25,22,143.17,3149.74
2023-01-27,7562.57,20,143.16,2863.2
2023-01-30,7852.49,18,144.96,2609.28
2023-01-31,8137.89,16,142.7,2283.2
2023-02-01,8425.83,14,143.97,2015.58
2023-02-02,8574.73,13,148.9,1935.7
2023-02-03,8722.76,12,148.03,1776.36
2023-02-06,8875.33,11,152.57,1678.27
2023-02-07,9025.97,10,150.64,1506.4
2023-02-08,9179.85,9,153.88,1384.92
2023-02-09,9333.63,8,153.78,1230.24
2023-02-10,9483.09,7,149.46,1046.22
2023-02-13,9634.04,6,150.95,905.7
2023-02-14,9786.16,5,152.12,760.6
2023-02-15,9786.16,5,153.11,765.55
2023-02-16,9786.16,5,153.51,767.55
2023-02-17,9786.16,5,152.35,761.75
2023-02-21,9786.16,5,150.2,751.0
2023-02-22,8744.07,12,148.87,1786.44
2023-02-23,8894.16,11,150.09,1650.99
2023-02-24,8011.5,17,147.11,2500.87
2023-02-27,7272.95,22,147.71,3249.62
2023-02-28,6537.7,27,147.05,3970.35
2023-03-01,5950.38,31,146.83,4551.73
2023-03-02,5372.86,35,144.38,5053.3
2023-03-03,4780.7,39,148.04,5773.56
2023-03-06,5395.86,35,153.79,5382.65
2023-03-07,5856.96,32,153.7,4918.4
2023-03-08,6315.39,29,152.81,4431.49
2023-03-09,6776.07,26,153.56,3992.56
2023-03-10,6025.02,31,150.21,4656.51
2023-03-13,5433.78,35,147.81,5173.35
2023-03-14,5887.62,32,151.28,4840.96
2023-03-15,6341.19,29,151.19,4384.51
2023-03-16,6797.67,26,152.16,3956.16
2023-03-17,7265.91,23,156.08,3589.84
2023-03-20,7576.05,21,155.07,3256.47
2023-03-21,7890.69,19,157.32,2989.08
2023-03-22,8209.29,17,159.3,2708.1
2023-03-23,8526.95,15,158.83,2382.45
2023-03-24,8685.81,14,158.86,2224.04
2023-03-27,8845.75,13,159.94,2079.22
2023-03-28,9003.72,12,157.97,1895.64
2023-03-29,9163.09,11,159.37,1753.07
2023-03-30,9324.62,10,161.53,1615.3
2023-03-31,9487.06,9,162.44,1461.96
2023-04-03,9651.33,8,164.27,1314.16
2023-04-04,9817.93,7,166.6,1166.2
2023-04-05,9982.67,6,164.74,988.44
2023-04-06,10145.1,5,162.43,812.15
2023-04-10,10145.1,5,161.42,807.1
2023-04-11,10145.1,5,162.35,811.75
2023-04-12,10145.1,5,161.22,806.1
2023-04-13,10145.1,5,161.63,808.15
2023-04-14,10145.1,5,164.59,822.95
2023-04-17,10145.1,5,165.09,825.45
2023-04-18,10145.1,5,166.1,830.5
2023-04-19,10145.1,5,165.8,829.0
2023-04-20,10145.1,5,166.09,830.45
2023-04-21,10145.1,5,165.05,825.25
2023-04-24,10145.1,5,165.0,825.0
2023-04-25,10145.1,5,165.19,825.95
2023-04-26,9166.74,11,163.06,1793.66
2023-04-27,9331.93,10,165.19,1651.9
2023-04-28,9500.42,9,168.49,1516.41
2023-05-01,9669.7,8,169.28,1354.24
2023-05-02,9839.79,7,170.09,1190.63
2023-05-03,10009.29,6,169.5,1017.0
2023-05-04,9019.95,12,164.89,1978.68
2023-05-05,9190.93,11,170.98,1880.78
2023-05-08,9363.41,10,172.48,1724.8
2023-05-09,9536.46,9,173.05,1557.45
2023-05-10,9709.48,8,173.02,1384.16
2023-05-11,9883.33,7,173.85,1216.95
2023-05-12,10056.95,6,173.62,1041.72
2023-05-15,10230.11,5,173.16,865.8
2023-05-16,10230.11,5,171.99,859.95
2023-05-17,10230.11,5,171.71,858.55
2023-05-18,10230.11,5,173.0,865.0
2023-05-19,10230.11,5,176.39,881.95
2023-05-22,10230.11,5,173.98,869.9
2023-05-23,10230.11,5,173.13,865.65
2023-05-24,9203.57,11,171.09,1881.99
2023-05-25,9375.98,10,172.41,1724.1
2023-05-26,9549.3,9,173.32,1559.88
2023-05-30,9726.26,8,176.96,1415.68
2023-05-31,9903.59,7,177.33,1241.31
2023-06-01,10081.29,6,177.7,1066.2
2023-06-02,10262.32,5,181.03,905.15
2023-06-05,10262.32,5,182.63,913.15
2023-06-06,10262.32,5,179.97,899.85
2023-06-07,10262.32,5,178.44,892.2
2023-06-08,10262.32,5,177.9,889.5
2023-06-09,10262.32,5,181.5,907.5
2023-06-12,10262.32,5,181.27,906.35
2023-06-13,10262.32,5,182.8,914.0
2023-06-14,10262.32,5,183.37,916.85
2023-06-15,10262.32,5,183.96,919.8
2023-06-16,10262.32,5,186.73,933.65
2023-06-20,10262.32,5,184.41,922.05
2023-06-21,10262.32,5,184.9,924.5
2023-06-22,10262.32,5,183.74,918.7
2023-06-23,10262.32,5,185.55,927.75
