Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,42.76,68,146.43,9957.24
2022-11-18,42.76,68,152.31,10357.08
2022-11-21,42.76,68,150.16,10210.88
2022-11-22,42.76,68,148.13,10072.84
2022-11-23,42.76,68,149.45,10162.6
2022-11-25,42.76,68,148.31,10085.08
2022-11-28,42.76,68,145.14,9869.52
2022-11-29,42.76,68,144.29,9811.72
2022-11-30,42.76,68,141.4,9615.2
2022-12-01,42.76,68,148.21,10078.28
2022-12-02,42.76,68,145.96,9925.28
2022-12-05,42.76,68,147.77,10048.36
2022-12-06,42.76,68,147.07,10000.76
2022-12-07,42.76,68,142.19,9668.92
2022-12-08,42.76,68,142.36,9680.48
2022-12-09,42.76,68,142.34,9679.12
2022-12-12,42.76,68,142.7,9703.6
2022-12-13,42.76,68,149.5,10166.0
2022-12-14,42.76,68,145.35,9883.8
2022-12-15,42.76,68,141.11,9595.48
2022-12-16,42.76,68,136.69,9294.92
2022-12-19,42.76,68,135.11,9187.48
2022-12-20,42.76,68,131.39,8934.52
2022-12-21,42.76,68,132.98,9042.64
2022-12-22,42.76,68,134.35,9135.8
2022-12-23,42.76,68,130.92,8902.56
2022-12-27,42.76,68,131.38,8933.84
2022-12-28,42.76,68,129.67,8817.56
2022-12-29,42.76,68,127.99,8703.32
2022-12-30,42.76,68,128.41,8731.88
2023-01-03,42.76,68,130.28,8859.04
2023-01-04,42.76,68,126.89,8628.52
2023-01-05,42.76,68,127.13,8644.84
2023-01-06,42.76,68,126.01,8568.68
2023-01-09,42.76,68,130.47,8871.96
2023-01-10,42.76,68,130.26,8857.68
2023-01-11,42.76,68,131.25,8925.0
2023-01-12,42.76,68,133.88,9103.84
2023-01-13,42.76,68,132.03,8978.04
2023-01-17,42.76,68,134.83,9168.44
2023-01-18,42.76,68,136.82,9303.76
2023-01-19,42.76,68,134.08,9117.44
2023-01-20,42.76,68,135.28,9199.04
2023-01-23,42.76,68,138.12,9392.16
2023-01-24,42.76,68,140.31,9541.08
2023-01-25,42.76,68,140.89,9580.52
2023-01-26,42.76,68,143.17,9735.56
2023-01-27,42.76,68,143.16,9734.88
2023-01-30,42.76,68,144.96,9857.28
2023-01-31,42.76,68,142.7,9703.6
2023-02-01,42.76,68,143.97,9789.96
2023-02-02,42.76,68,148.9,10125.2
2023-02-03,42.76,68,148.03,10066.04
2023-02-06,42.76,68,152.57,10374.76
2023-02-07,42.76,68,150.64,10243.52
2023-02-08,42.76,68,153.88,10463.84
2023-02-09,42.76,68,153.78,10457.04
2023-02-10,42.76,68,149.46,10163.28
2023-02-13,42.76,68,150.95,10264.6
2023-02-14,42.76,68,152.12,10344.16
2023-02-15,42.76,68,153.11,10411.48
2023-02-16,42.76,68,153.51,10438.68
2023-02-17,42.76,68,152.35,10359.8
2023-02-21,42.76,68,150.2,10213.6
2023-02-22,42.76,68,148.87,10123.16
2023-02-23,42.76,68,150.09,10206.12
2023-02-24,42.76,68,147.11,10003.48
2023-02-27,42.76,68,147.71,10044.28
2023-02-28,42.76,68,147.05,9999.4
2023-03-01,42.76,68,146.83,9984.44
2023-03-02,42.76,68,144.38,9817.84
2023-03-03,42.76,68,148.04,10066.72
2023-03-06,42.76,68,153.79,10457.72
2023-03-07,42.76,68,153.7,10451.6
2023-03-08,42.76,68,152.81,10391.08
2023-03-09,42.76,68,153.56,10442.08
2023-03-10,42.76,68,150.21,10214.28
2023-03-13,42.76,68,147.81,10051.08
2023-03-14,42.76,68,151.28,10287.04
2023-03-15,42.76,68,151.19,10280.92
2023-03-16,42.76,68,152.16,10346.88
2023-03-17,42.76,68,156.08,10613.44
2023-03-20,42.76,68,155.07,10544.76
2023-03-21,42.76,68,157.32,10697.76
2023-03-22,42.76,68,159.3,10832.4
2023-03-23,42.76,68,158.83,10800.44
2023-03-24,42.76,68,158.86,10802.48
2023-03-27,42.76,68,159.94,10875.92
2023-03-28,42.76,68,157.97,10741.96
2023-03-29,42.76,68,159.37,10837.16
2023-03-30,42.76,68,161.53,10984.04
2023-03-31,42.76,68,162.44,11045.92
2023-04-03,42.76,68,164.27,11170.36
2023-04-04,42.76,68,166.6,11328.8
2023-04-05,42.76,68,164.74,11202.32
2023-04-06,42.76,68,162.43,11045.24
2023-04-10,42.76,68,161.42,10976.56
2023-04-11,42.76,68,162.35,11039.8
2023-04-12,42.76,68,161.22,10962.96
2023-04-13,42.76,68,161.63,10990.84
2023-04-14,42.76,68,164.59,11192.12
2023-04-17,42.76,68,165.09,11226.12
2023-04-18,42.76,68,166.1,11294.8
2023-04-19,42.76,68,165.8,11274.4
2023-04-20,42.76,68,166.09,11294.12
2023-04-21,42.76,68,165.05,11223.4
2023-04-24,42.76,68,165.0,11220.0
2023-04-25,42.76,68,165.19,11232.92
2023-04-26,42.76,68,163.06,11088.08
2023-04-27,42.76,68,165.19,11232.92
2023-04-28,42.76,68,168.49,11457.32
2023-05-01,42.76,68,169.28,11511.04
2023-05-02,42.76,68,170.09,11566.12
2023-05-03,42.76,68,169.5,11526.0
2023-05-04,42.76,68,164.89,11212.52
2023-05-05,42.76,68,170.98,11626.64
2023-05-08,42.76,68,172.48,11728.64
2023-05-09,42.76,68,173.05,11767.4
2023-05-10,42.76,68,173.02,11765.36
2023-05-11,42.76,68,173.85,11821.8
2023-05-12,42.76,68,173.62,11806.16
2023-05-15,42.76,68,173.16,11774.88
2023-05-16,42.76,68,171.99,11695.32
2023-05-17,42.76,68,171.71,11676.28
2023-05-18,42.76,68,173.0,11764.0
2023-05-19,42.76,68,176.39,11994.52
2023-05-22,42.76,68,173.98,11830.64
2023-05-23,42.76,68,173.13,11772.84
2023-05-24,42.76,68,171.09,11634.12
2023-05-25,42.76,68,172.41,11723.88
2023-05-26,42.76,68,173.32,11785.76
2023-05-30,42.76,68,176.96,12033.28
2023-05-31,42.76,68,177.33,12058.44
2023-06-01,42.76,68,177.7,12083.6
2023-06-02,42.76,68,181.03,12310.04
2023-06-05,42.76,68,182.63,12418.84
2023-06-06,42.76,68,179.97,12237.96
2023-06-07,42.76,68,178.44,12133.92
2023-06-08,42.76,68,177.9,12097.2
2023-06-09,42.76,68,181.5,12342.0
2023-06-12,42.76,68,181.27,12326.36
2023-06-13,42.76,68,182.8,12430.4
2023-06-14,42.76,68,183.37,12469.16
2023-06-15,42.76,68,183.96,12509.28
2023-06-16,42.76,68,186.73,12697.64
2023-06-20,42.76,68,184.41,12539.88
2023-06-21,42.76,68,184.9,12573.2
2023-06-22,42.76,68,183.74,12494.32
2023-06-23,42.76,68,185.55,12617.4
2023-06-26,42.76,68,186.83,12704.44
2023-06-27,42.76,68,185.89,12640.52
2023-06-28,42.76,68,187.93,12779.24
2023-06-29,42.76,68,189.08,12857.44
2023-06-30,42.76,68,191.63,13030.84
2023-07-03,42.76,68,193.78,13177.04
2023-07-05,42.76,68,191.57,13026.76
2023-07-06,42.76,68,189.84,12909.12
2023-07-07,42.76,68,191.41,13015.88
2023-07-10,42.76,68,189.26,12869.68
2023-07-11,42.76,68,189.16,12862.88
2023-07-12,42.76,68,189.68,12898.24
2023-07-13,42.76,68,190.5,12954.0
2023-07-14,42.76,68,190.23,12935.64
2023-07-17,42.76,68,191.9,13049.2
2023-07-18,42.76,68,193.35,13147.8
2023-07-19,42.76,68,193.1,13130.8
2023-07-20,42.76,68,195.09,13266.12
2023-07-21,42.76,68,194.1,13198.8
2023-07-24,42.76,68,193.41,13151.88
2023-07-25,42.76,68,193.33,13146.44
2023-07-26,42.76,68,193.67,13169.56
2023-07-27,42.76,68,196.02,13329.36
2023-07-28,42.76,68,194.67,13237.56
2023-07-31,42.76,68,196.06,13332.08
2023-08-01,42.76,68,196.24,13344.32
2023-08-02,42.76,68,195.04,13262.72
2023-08-03,42.76,68,191.57,13026.76
2023-08-04,42.76,68,185.52,12615.36
2023-08-07,42.76,68,182.13,12384.84
2023-08-08,42.76,68,179.69,12218.92
2023-08-09,42.76,68,180.87,12299.16
2023-08-10,42.76,68,179.48,12204.64
2023-08-11,42.76,68,177.32,12057.76
2023-08-14,42.76,68,177.97,12101.96
2023-08-15,42.76,68,178.88,12163.84
2023-08-16,42.76,68,177.13,12044.84
2023-08-17,42.76,68,177.14,12045.52
2023-08-18,42.76,68,172.3,11716.4
2023-08-21,42.76,68,175.07,11904.76
2023-08-22,42.76,68,177.06,12040.08
2023-08-23,42.76,68,178.52,12139.36
2023-08-24,42.76,68,180.67,12285.56
2023-08-25,42.76,68,177.38,12061.84
2023-08-28,42.76,68,180.09,12246.12
2023-08-29,42.76,68,179.7,12219.6
2023-08-30,42.76,68,184.94,12575.92
2023-08-31,42.76,68,187.84,12773.12
2023-09-01,42.76,68,189.49,12885.32
2023-09-05,42.76,68,188.28,12803.04
2023-09-06,42.76,68,188.4,12811.2
2023-09-07,42.76,68,175.18,11912.24
2023-09-08,42.76,68,178.35,12127.8
2023-09-11,42.76,68,180.07,12244.76
2023-09-12,42.76,68,179.49,12205.32
2023-09-13,42.76,68,176.51,12002.68
2023-09-14,42.76,68,174.0,11832.0
2023-09-15,42.76,68,176.48,12000.64
2023-09-18,42.76,68,176.48,12000.64
2023-09-19,42.76,68,177.52,12071.36
2023-09-20,42.76,68,179.26,12189.68
2023-09-21,42.76,68,174.55,11869.4
2023-09-22,42.76,68,174.67,11877.56
2023-09-25,42.76,68,174.2,11845.6
