Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,10000.0,0,146.43,0.0
2022-11-18,10000.0,0,152.31,0.0
2022-11-21,10000.0,0,150.16,0.0
2022-11-22,10000.0,0,148.13,0.0
2022-11-23,10000.0,0,149.45,0.0
2022-11-25,10000.0,0,148.31,0.0
2022-11-28,10000.0,0,145.14,0.0
2022-11-29,10000.0,0,144.29,0.0
2022-11-30,10000.0,0,141.4,0.0
2022-12-01,10000.0,0,148.21,0.0
2022-12-02,10000.0,0,145.96,0.0
2022-12-05,10000.0,0,147.77,0.0
2022-12-06,10000.0,0,147.07,0.0
2022-12-07,10000.0,0,142.19,0.0
2022-12-08,10000.0,0,142.36,0.0
2022-12-09,5587.46,31,142.34,4412.54
2022-12-12,5016.66,35,142.7,4994.5
2022-12-13,5016.66,35,149.5,5232.5
2022-12-14,5162.01,34,145.35,4941.9
2022-12-15,4738.68,37,141.11,5221.07
2022-12-16,5148.75,34,136.69,4647.46
2022-12-19,4878.53,36,135.11,4863.96
2022-12-20,4747.14,37,131.39,4861.43
2022-12-21,5943.96,28,132.98,3723.44
2022-12-22,4869.16,36,134.35,4836.6
2022-12-23,5131.0,34,130.92,4451.28
2022-12-27,5131.0,34,131.38,4466.92
2022-12-28,4871.66,36,129.67,4668.12
2022-12-29,4999.65,35,127.99,4479.65
2022-12-30,4486.01,39,128.41,5007.99
2023-01-03,5267.69,33,130.28,4299.24
2023-01-04,5521.47,31,126.89,3933.59
2023-01-05,5394.34,32,127.13,4068.16
2023-01-06,5268.33,33,126.01,4158.33
2023-01-09,4355.04,40,130.47,5218.8
2023-01-10,4745.82,37,130.26,4819.62
2023-01-11,5008.32,35,131.25,4593.75
2023-01-12,5409.96,32,133.88,4284.16
2023-01-13,5145.9,34,132.03,4489.02
2023-01-17,5145.9,34,134.83,4584.22
2023-01-18,5556.36,31,136.82,4241.42
2023-01-19,5288.2,33,134.08,4424.64
2023-01-20,5017.64,35,135.28,4734.8
2023-01-23,5293.88,33,138.12,4557.96
2023-01-24,4872.95,36,140.31,5051.16
2023-01-25,2900.49,50,140.89,7044.5
2023-01-26,2757.32,51,143.17,7301.67
2023-01-27,2041.52,56,143.16,8016.96
2023-01-30,2331.44,54,144.96,7827.84
2023-01-31,3901.14,43,142.7,6136.1
2023-02-01,3901.14,43,143.97,6190.71
2023-02-02,4198.94,41,148.9,6104.9
2023-02-03,4346.97,40,148.03,5921.2
2023-02-06,4194.4,41,152.57,6255.37
2023-02-07,4495.68,39,150.64,5874.96
2023-02-08,4957.32,36,153.88,5539.68
2023-02-09,4957.32,36,153.78,5536.08
2023-02-10,4508.94,39,149.46,5828.94
2023-02-13,4961.79,36,150.95,5434.2
2023-02-14,4809.67,37,152.12,5628.44
2023-02-15,4809.67,37,153.11,5665.07
2023-02-16,4809.67,37,153.51,5679.87
2023-02-17,4657.32,38,152.35,5789.3
2023-02-21,4206.72,41,150.2,6158.2
2023-02-22,4504.46,39,148.87,5805.93
2023-02-23,4654.55,38,150.09,5703.42
2023-02-24,5390.1,33,147.11,4854.63
2023-02-27,5980.94,29,147.71,4283.59
2023-02-28,5980.94,29,147.05,4264.45
2023-03-01,6127.77,28,146.83,4111.24
2023-03-02,5983.39,29,144.38,4187.02
2023-03-03,6427.51,26,148.04,3849.04
2023-03-06,5197.19,34,153.79,5228.86
2023-03-07,5197.19,34,153.7,5225.8
2023-03-08,5502.81,32,152.81,4889.92
2023-03-09,5656.37,31,153.56,4760.36
2023-03-10,5806.58,30,150.21,4506.3
2023-03-13,5806.58,30,147.81,4434.3
2023-03-14,5504.02,32,151.28,4840.96
2023-03-15,5201.64,34,151.19,5140.46
2023-03-16,5201.64,34,152.16,5173.44
2023-03-17,5045.56,35,156.08,5462.8
2023-03-20,4580.35,38,155.07,5892.66
2023-03-21,4894.99,36,157.32,5663.52
2023-03-22,4894.99,36,159.3,5734.8
2023-03-23,4577.33,38,158.83,6035.54
2023-03-24,5212.77,34,158.86,5401.24
2023-03-27,5372.71,33,159.94,5278.02
2023-03-28,5372.71,33,157.97,5213.01
2023-03-29,5053.97,35,159.37,5577.95
2023-03-30,4569.38,38,161.53,6138.14
2023-03-31,4244.5,40,162.44,6497.6
2023-04-03,4244.5,40,164.27,6570.8
2023-04-04,4411.1,39,166.6,6497.4
2023-04-05,3752.14,43,164.74,7083.82
2023-04-06,4239.43,40,162.43,6497.2
2023-04-10,4562.27,38,161.42,6133.96
2023-04-11,5049.32,35,162.35,5682.25
2023-04-12,5049.32,35,161.22,5642.7
2023-04-13,4726.06,37,161.63,5980.31
2023-04-14,4067.7,41,164.59,6748.19
2023-04-17,3572.43,44,165.09,7263.96
2023-04-18,3738.53,43,166.1,7142.3
2023-04-19,4070.13,41,165.8,6797.8
2023-04-20,4402.31,39,166.09,6477.51
2023-04-21,4237.26,40,165.05,6602.0
2023-04-24,4567.26,38,165.0,6270.0
2023-04-25,4897.64,36,165.19,5946.84
2023-04-26,5060.7,35,163.06,5707.1
2023-04-27,4565.13,38,165.19,6277.22
2023-04-28,3722.68,43,168.49,7245.07
2023-05-01,3384.12,45,169.28,7617.6
2023-05-02,3043.94,47,170.09,7994.23
2023-05-03,3213.44,46,169.5,7797.0
2023-05-04,4037.89,41,164.89,6760.49
2023-05-05,4550.83,38,170.98,6497.24
2023-05-08,2998.51,47,172.48,8106.56
2023-05-09,2479.36,50,173.05,8652.5
2023-05-10,2479.36,50,173.02,8651.0
2023-05-11,2653.21,49,173.85,8518.65
2023-05-12,2826.83,48,173.62,8333.76
2023-05-15,2480.51,50,173.16,8658.0
2023-05-16,2308.52,51,171.99,8771.49
2023-05-17,2823.65,48,171.71,8242.08
2023-05-18,3515.65,44,173.0,7612.0
2023-05-19,3339.26,45,176.39,7937.55
2023-05-22,4035.18,41,173.98,7133.18
2023-05-23,4035.18,41,173.13,7098.33
2023-05-24,4548.45,38,171.09,6501.42
2023-05-25,4720.86,37,172.41,6379.17
2023-05-26,6627.38,26,173.32,4506.32
2023-05-30,6627.38,26,176.96,4600.96
2023-05-31,6095.39,29,177.33,5142.57
2023-06-01,5739.99,31,177.7,5508.7
2023-06-02,5196.9,34,181.03,6155.02
2023-06-05,5196.9,34,182.63,6209.42
2023-06-06,5736.81,31,179.97,5579.07
2023-06-07,4844.61,36,178.44,6423.84
2023-06-08,4844.61,36,177.9,6404.4
2023-06-09,4844.61,36,181.5,6534.0
2023-06-12,4844.61,36,181.27,6525.72
2023-06-13,4661.81,37,182.8,6763.6
2023-06-14,3378.22,44,183.37,8068.28
2023-06-15,3378.22,44,183.96,8094.24
2023-06-16,3191.49,45,186.73,8402.85
2023-06-20,3560.31,43,184.41,7929.63
2023-06-21,3930.11,41,184.9,7580.9
