Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,10000.0,0,95.37,0.0
2022-11-18,10000.0,0,95.95,0.0
2022-11-21,10000.0,0,93.97,0.0
2022-11-22,10000.0,0,92.62,0.0
2022-11-23,10000.0,0,93.24,0.0
2022-11-25,10000.0,0,93.79,0.0
2022-11-28,10000.0,0,93.93,0.0
2022-11-29,10000.0,0,94.04,0.0
2022-11-30,10000.0,0,92.47,0.0
2022-12-01,10000.0,0,96.99,0.0
2022-12-02,10000.0,0,94.48,0.0
2022-12-05,10000.0,0,93.05,0.0
2022-12-06,10000.0,0,90.5,0.0
2022-12-07,10000.0,0,88.34,0.0
2022-12-08,10000.0,0,89.24,0.0
2022-12-09,10000.0,0,88.9,0.0
2022-12-12,10000.0,0,89.21,0.0
2022-12-13,10000.0,0,95.23,0.0
2022-12-14,10000.0,0,92.5,0.0
2022-12-15,10000.0,0,89.89,0.0
2022-12-16,9029.03,11,88.27,970.97
2022-12-19,8153.93,21,87.51,1837.71
2022-12-20,7300.63,31,85.33,2645.23
2022-12-21,6611.19,39,86.18,3361.02
2022-12-22,5927.03,47,85.52,4019.44
2022-12-23,5344.28,54,83.25,4495.5
2022-12-27,4834.46,60,84.97,5098.2
2022-12-28,4337.66,66,82.8,5464.8
2022-12-29,3923.31,71,82.87,5883.77
2022-12-30,3507.71,76,83.12,6317.12
2023-01-03,3165.87,80,85.46,6836.8
2023-01-04,2819.67,84,86.55,7270.2
2023-01-05,2563.68,87,85.33,7423.71
2023-01-06,2314.59,90,83.03,7472.7
2023-01-09,3101.73,81,87.46,7084.26
2023-01-10,3802.29,73,87.57,6392.61
2023-01-11,4438.8,66,90.93,6001.38
2023-01-12,5117.31,59,96.93,5718.87
2023-01-13,5682.39,53,94.18,4991.54
2023-01-17,6175.79,48,98.68,4736.64
2023-01-18,6662.04,43,97.25,4181.75
2023-01-19,7041.0,39,94.74,3694.86
2023-01-20,7416.44,35,93.86,3285.1
2023-01-23,7709.12,32,97.56,3121.92
2023-01-24,7999.91,29,96.93,2810.97
2023-01-25,8277.59,26,92.56,2406.56
2023-01-26,8572.31,23,98.24,2259.52
2023-01-27,8771.37,21,99.53,2090.13
2023-01-30,8973.55,19,101.09,1920.71
2023-01-31,9175.87,17,101.16,1719.72
2023-02-01,9380.93,15,102.53,1537.95
2023-02-02,9491.18,14,110.25,1543.5
2023-02-03,9596.44,13,105.26,1368.38
2023-02-06,9699.37,12,102.93,1235.16
2023-02-07,9800.54,11,101.17,1112.87
2023-02-08,9902.58,10,102.04,1020.4
2023-02-09,10003.9,9,101.32,911.88
2023-02-10,9028.3,19,97.56,1853.64
2023-02-13,8147.65,28,97.85,2739.8
2023-02-14,7360.37,36,98.41,3542.76
2023-02-15,6666.74,43,99.09,4260.87
2023-02-16,5972.27,50,99.21,4960.5
2023-02-17,5385.47,56,97.8,5476.8
2023-02-21,4813.43,62,95.34,5911.08
2023-02-22,4337.93,67,95.1,6371.7
2023-02-23,3857.33,72,96.12,6920.64
2023-02-24,3483.21,76,93.53,7108.28
2023-02-27,3106.09,80,94.28,7542.4
2023-02-28,2826.67,83,93.14,7730.62
2023-03-01,2545.06,86,93.87,8072.82
2023-03-02,2270.83,89,91.41,8135.49
2023-03-03,2085.35,91,92.74,8439.34
2023-03-06,1894.97,93,95.19,8852.67
2023-03-07,1706.85,95,94.06,8935.7
2023-03-08,1519.65,97,93.6,9079.2
2023-03-09,1332.29,99,93.68,9274.32
