Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,81.52,104,95.37,9918.48
2022-11-18,81.52,104,95.95,9978.8
2022-11-21,81.52,104,93.97,9772.88
2022-11-22,81.52,104,92.62,9632.48
2022-11-23,81.52,104,93.24,9696.96
2022-11-25,81.52,104,93.79,9754.16
2022-11-28,81.52,104,93.93,9768.72
2022-11-29,81.52,104,94.04,9780.16
2022-11-30,81.52,104,92.47,9616.88
2022-12-01,81.52,104,96.99,10086.96
2022-12-02,81.52,104,94.48,9825.92
2022-12-05,81.52,104,93.05,9677.2
2022-12-06,81.52,104,90.5,9412.0
2022-12-07,81.52,104,88.34,9187.36
2022-12-08,81.52,104,89.24,9280.96
2022-12-09,81.52,104,88.9,9245.6
2022-12-12,81.52,104,89.21,9277.84
2022-12-13,81.52,104,95.23,9903.92
2022-12-14,81.52,104,92.5,9620.0
2022-12-15,81.52,104,89.89,9348.56
2022-12-16,81.52,104,88.27,9180.08
2022-12-19,81.52,104,87.51,9101.04
2022-12-20,81.52,104,85.33,8874.32
2022-12-21,81.52,104,86.18,8962.72
2022-12-22,81.52,104,85.52,8894.08
2022-12-23,81.52,104,83.25,8658.0
2022-12-27,81.52,104,84.97,8836.88
2022-12-28,81.52,104,82.8,8611.2
2022-12-29,81.52,104,82.87,8618.48
2022-12-30,81.52,104,83.12,8644.48
2023-01-03,81.52,104,85.46,8887.84
2023-01-04,81.52,104,86.55,9001.2
2023-01-05,81.52,104,85.33,8874.32
2023-01-06,81.52,104,83.03,8635.12
2023-01-09,81.52,104,87.46,9095.84
2023-01-10,81.52,104,87.57,9107.28
2023-01-11,81.52,104,90.93,9456.72
2023-01-12,81.52,104,96.93,10080.72
2023-01-13,81.52,104,94.18,9794.72
2023-01-17,81.52,104,98.68,10262.72
2023-01-18,81.52,104,97.25,10114.0
2023-01-19,81.52,104,94.74,9852.96
2023-01-20,81.52,104,93.86,9761.44
2023-01-23,81.52,104,97.56,10146.24
2023-01-24,81.52,104,96.93,10080.72
2023-01-25,81.52,104,92.56,9626.24
2023-01-26,81.52,104,98.24,10216.96
2023-01-27,81.52,104,99.53,10351.12
2023-01-30,81.52,104,101.09,10513.36
2023-01-31,81.52,104,101.16,10520.64
2023-02-01,81.52,104,102.53,10663.12
2023-02-02,81.52,104,110.25,11466.0
2023-02-03,81.52,104,105.26,10947.04
2023-02-06,81.52,104,102.93,10704.72
2023-02-07,81.52,104,101.17,10521.68
2023-02-08,81.52,104,102.04,10612.16
2023-02-09,81.52,104,101.32,10537.28
2023-02-10,81.52,104,97.56,10146.24
2023-02-13,81.52,104,97.85,10176.4
2023-02-14,81.52,104,98.41,10234.64
2023-02-15,81.52,104,99.09,10305.36
2023-02-16,81.52,104,99.21,10317.84
2023-02-17,81.52,104,97.8,10171.2
2023-02-21,81.52,104,95.34,9915.36
2023-02-22,81.52,104,95.1,9890.4
2023-02-23,81.52,104,96.12,9996.48
2023-02-24,81.52,104,93.53,9727.12
2023-02-27,81.52,104,94.28,9805.12
2023-02-28,81.52,104,93.14,9686.56
2023-03-01,81.52,104,93.87,9762.48
2023-03-02,81.52,104,91.41,9506.64
2023-03-03,81.52,104,92.74,9644.96
2023-03-06,81.52,104,95.19,9899.76
2023-03-07,81.52,104,94.06,9782.24
2023-03-08,81.52,104,93.6,9734.4
2023-03-09,81.52,104,93.68,9742.72
2023-03-10,81.52,104,92.67,9637.68
2023-03-13,81.52,104,89.97,9356.88
2023-03-14,81.52,104,93.83,9758.32
2023-03-15,81.52,104,93.22,9694.88
2023-03-16,81.52,104,95.75,9958.0
2023-03-17,81.52,104,99.79,10378.16
2023-03-20,81.52,104,98.41,10234.64
2023-03-21,81.52,104,98.14,10206.56
2023-03-22,81.52,104,100.45,10446.8
2023-03-23,81.52,104,100.43,10444.72
2023-03-24,81.52,104,98.07,10199.28
2023-03-27,81.52,104,99.07,10303.28
2023-03-28,81.52,104,98.11,10203.44
2023-03-29,81.52,104,98.69,10263.76
2023-03-30,81.52,104,101.55,10561.2
2023-03-31,81.52,104,102.16,10624.64
2023-04-03,81.52,104,102.3,10639.2
2023-04-04,81.52,104,102.75,10686.0
2023-04-05,81.52,104,103.91,10806.64
2023-04-06,81.52,104,100.75,10478.0
2023-04-10,81.52,104,100.96,10499.84
2023-04-11,81.52,104,100.8,10483.2
2023-04-12,81.52,104,100.4,10441.6
2023-04-13,81.52,104,98.95,10290.8
