Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,10000.0,0,95.37,0.0
2022-11-18,10000.0,0,95.95,0.0
2022-11-21,10000.0,0,93.97,0.0
2022-11-22,10000.0,0,92.62,0.0
2022-11-23,10000.0,0,93.24,0.0
2022-11-25,10000.0,0,93.79,0.0
2022-11-28,10000.0,0,93.93,0.0
2022-11-29,10000.0,0,94.04,0.0
2022-11-30,10000.0,0,92.47,0.0
2022-12-01,10000.0,0,96.99,0.0
2022-12-02,10000.0,0,94.48,0.0
2022-12-05,10000.0,0,93.05,0.0
2022-12-06,10000.0,0,90.5,0.0
2022-12-07,10000.0,0,88.34,0.0
2022-12-08,10000.0,0,89.24,0.0
2022-12-09,5377.2,52,88.9,4622.8
2022-12-12,5466.41,51,89.21,4549.71
2022-12-13,5656.87,49,95.23,4666.27
2022-12-14,5286.87,53,92.5,4902.5
2022-12-15,4837.42,58,89.89,5213.62
2022-12-16,5278.77,53,88.27,4678.31
2022-12-19,4753.71,59,87.51,5163.09
2022-12-20,4839.04,58,85.33,4949.14
2022-12-21,6131.74,43,86.18,3705.74
2022-12-22,6131.74,43,85.52,3677.36
2022-12-23,6214.99,42,83.25,3496.5
2022-12-27,6130.02,43,84.97,3653.71
2022-12-28,5964.42,45,82.8,3726.0
2022-12-29,5550.07,50,82.87,4143.5
2022-12-30,5383.83,52,83.12,4322.24
2023-01-03,5298.37,53,85.46,4529.38
2023-01-04,5211.82,54,86.55,4673.7
2023-01-05,5126.49,55,85.33,4693.15
2023-01-06,5292.55,53,83.03,4400.59
2023-01-09,4767.79,59,87.46,5160.14
2023-01-10,5030.5,56,87.57,4903.92
2023-01-11,4666.78,60,90.93,5455.8
2023-01-12,4085.2,66,96.93,6397.38
2023-01-13,4273.56,64,94.18,6027.52
2023-01-17,3780.16,69,98.68,6808.92
2023-01-18,3877.41,68,97.25,6613.0
2023-01-19,3308.97,74,94.74,7010.76
2023-01-20,3496.69,72,93.86,6757.92
2023-01-23,3399.13,73,97.56,7121.88
2023-01-24,3980.71,67,96.93,6494.31
2023-01-25,3795.59,69,92.56,6386.64
2023-01-26,4385.03,63,98.24,6189.12
2023-01-27,4185.97,65,99.53,6469.45
2023-01-30,4185.97,65,101.09,6570.85
2023-01-31,4185.97,65,101.16,6575.4
2023-02-01,4288.5,64,102.53,6561.92
2023-02-02,4839.75,59,110.25,6504.75
2023-02-03,3787.15,69,105.26,7262.94
2023-02-06,5536.96,52,102.93,5352.36
2023-02-07,5334.62,54,101.17,5463.18
2023-02-08,5232.58,55,102.04,5612.2
2023-02-09,5232.58,55,101.32,5572.6
2023-02-10,5135.02,56,97.56,5463.36
2023-02-13,4547.92,62,97.85,6066.7
2023-02-14,4843.15,59,98.41,5806.19
2023-02-15,4942.24,58,99.09,5747.22
2023-02-16,5041.45,57,99.21,5654.97
2023-02-17,5139.25,56,97.8,5476.8
2023-02-21,4948.57,58,95.34,5529.72
2023-02-22,4948.57,58,95.1,5515.8
2023-02-23,5140.81,56,96.12,5382.72
2023-02-24,7479.06,31,93.53,2899.43
2023-02-27,6536.26,41,94.28,3865.48
2023-02-28,6908.82,37,93.14,3446.18
2023-03-01,7378.17,32,93.87,3003.84
2023-03-02,7286.76,33,91.41,3016.53
2023-03-03,7008.54,36,92.74,3338.64
2023-03-06,6627.78,40,95.19,3807.6
2023-03-07,6815.9,38,94.06,3574.28
2023-03-08,6254.3,44,93.6,4118.4
2023-03-09,6722.7,39,93.68,3653.52
