Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,10000.0,0,96.97,0.0
2022-11-18,10000.0,0,98.77,0.0
2022-11-21,10000.0,0,97.29,0.0
2022-11-22,10000.0,0,95.95,0.0
2022-11-23,10000.0,0,97.09,0.0
2022-11-25,10000.0,0,98.24,0.0
2022-11-28,9029.6,10,97.04,970.4
2022-11-29,8168.03,19,95.73,1818.87
2022-11-30,7314.65,28,94.82,2654.96
2022-12-01,7617.71,25,101.02,2525.5
2022-12-02,7815.81,23,99.05,2278.15
2022-12-05,8014.61,21,99.4,2087.4
2022-12-06,7220.21,29,99.3,2879.7
2022-12-07,6545.34,36,96.41,3470.76
2022-12-08,5877.68,43,95.38,4101.34
2022-12-09,5315.06,49,93.77,4594.73
2022-12-12,4758.8,55,92.71,5099.05
2022-12-13,5247.6,50,97.76,4888.0
2022-12-14,5723.6,45,95.2,4284.0
2022-12-15,5164.82,51,93.13,4749.63
2022-12-16,4620.26,57,90.76,5173.32
2022-12-19,4168.96,62,90.26,5596.12
2022-12-20,3728.41,67,88.11,5903.37
2022-12-21,3372.09,71,89.08,6324.68
2022-12-22,3019.45,75,88.16,6612.0
2022-12-23,2758.12,78,87.11,6794.58
2022-12-27,2491.72,81,88.8,7192.8
2022-12-28,2230.78,84,86.98,7306.32
2022-12-29,1970.92,87,86.62,7535.94
2022-12-30,1796.96,89,86.98,7741.22
2023-01-03,2603.27,80,89.59,7167.2
2023-01-04,3326.07,72,90.35,6505.2
2023-01-05,2976.19,76,87.47,6647.72
2023-01-06,2715.82,79,86.79,6856.41
2023-01-09,3422.7,71,88.36,6273.56
2023-01-10,3078.78,75,85.98,6448.5
2023-01-11,3703.04,68,89.18,6064.24
2023-01-12,4343.4,61,91.48,5580.28
2023-01-13,4888.5,55,90.85,4996.75
2023-01-17,5348.8,50,92.06,4603.0
2023-01-18,5809.5,45,92.14,4146.3
2023-01-19,5265.18,51,90.72,4626.72
2023-01-20,5740.68,46,95.1,4374.6
2023-01-23,6230.43,41,97.95,4015.95
2023-01-24,6622.83,37,98.1,3629.7
2023-01-25,5953.84,44,95.57,4205.08
2023-01-26,5374.84,50,96.5,4825.0
2023-01-27,4790.98,56,97.31,5449.36
2023-01-30,4303.58,61,97.48,5946.28
2023-01-31,3916.1,65,96.87,6296.55
2023-02-01,4508.36,59,98.71,5823.89
2023-02-02,5143.16,53,105.8,5607.4
2023-02-03,5657.81,48,102.93,4940.64
2023-02-06,6169.81,43,102.4,4403.2
2023-02-07,6582.69,39,103.22,4025.58
2023-02-08,5970.39,45,102.05,4592.25
2023-02-09,5370.39,51,100.0,5100.0
2023-02-10,4797.69,57,95.45,5440.65
2023-02-13,4323.99,62,94.74,5873.88
2023-02-14,3851.84,67,94.43,6326.81
2023-02-15,3473.88,71,94.49,6708.79
2023-02-16,4141.47,64,95.37,6103.68
2023-02-17,3762.07,68,94.85,6449.8
2023-02-21,3390.07,72,93.0,6696.0
2023-02-22,3023.27,76,91.7,6969.2
2023-02-23,2747.51,79,91.92,7261.68
2023-02-24,2479.19,82,89.44,7334.08
2023-02-27,2209.58,85,89.87,7638.95
2023-02-28,2030.92,87,89.33,7771.71
2023-03-01,1850.96,89,89.98,8008.22
2023-03-02,1671.64,91,89.66,8159.06
2023-03-03,2503.96,82,92.48,7583.36
2023-03-06,3256.12,74,94.02,6957.48
2023-03-07,3920.98,67,94.98,6363.66
2023-03-08,4579.82,60,94.12,5647.2
2023-03-09,5144.12,54,94.05,5078.7
2023-03-10,4591.1,60,92.17,5530.2
2023-03-13,4140.65,65,90.09,5855.85
2023-03-14,4696.01,59,92.56,5461.04
2023-03-15,5255.33,53,93.22,4940.66
2023-03-16,5736.33,48,96.2,4617.6
2023-03-17,6237.63,43,100.26,4311.18
2023-03-20,6638.11,39,100.12,3904.68
2023-03-21,7043.11,35,101.25,3543.75
2023-03-22,7355.92,32,104.27,3336.64
2023-03-23,7671.1,29,105.06,3046.74
2023-03-24,7986.07,26,104.99,2729.74
