Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,12.09,103,96.97,9987.91
2022-11-18,12.09,103,98.77,10173.31
2022-11-21,12.09,103,97.29,10020.87
2022-11-22,12.09,103,95.95,9882.85
2022-11-23,12.09,103,97.09,10000.27
2022-11-25,12.09,103,98.24,10118.72
2022-11-28,12.09,103,97.04,9995.12
2022-11-29,12.09,103,95.73,9860.19
2022-11-30,12.09,103,94.82,9766.46
2022-12-01,12.09,103,101.02,10405.06
2022-12-02,12.09,103,99.05,10202.15
2022-12-05,12.09,103,99.4,10238.2
2022-12-06,12.09,103,99.3,10227.9
2022-12-07,12.09,103,96.41,9930.23
2022-12-08,12.09,103,95.38,9824.14
2022-12-09,12.09,103,93.77,9658.31
2022-12-12,12.09,103,92.71,9549.13
2022-12-13,12.09,103,97.76,10069.28
2022-12-14,12.09,103,95.2,9805.6
2022-12-15,12.09,103,93.13,9592.39
2022-12-16,12.09,103,90.76,9348.28
2022-12-19,12.09,103,90.26,9296.78
2022-12-20,12.09,103,88.11,9075.33
2022-12-21,12.09,103,89.08,9175.24
2022-12-22,12.09,103,88.16,9080.48
2022-12-23,12.09,103,87.11,8972.33
2022-12-27,12.09,103,88.8,9146.4
2022-12-28,12.09,103,86.98,8958.94
2022-12-29,12.09,103,86.62,8921.86
2022-12-30,12.09,103,86.98,8958.94
2023-01-03,12.09,103,89.59,9227.77
2023-01-04,12.09,103,90.35,9306.05
2023-01-05,12.09,103,87.47,9009.41
2023-01-06,12.09,103,86.79,8939.37
2023-01-09,12.09,103,88.36,9101.08
2023-01-10,12.09,103,85.98,8855.94
2023-01-11,12.09,103,89.18,9185.54
2023-01-12,12.09,103,91.48,9422.44
2023-01-13,12.09,103,90.85,9357.55
2023-01-17,12.09,103,92.06,9482.18
2023-01-18,12.09,103,92.14,9490.42
2023-01-19,12.09,103,90.72,9344.16
2023-01-20,12.09,103,95.1,9795.3
2023-01-23,12.09,103,97.95,10088.85
2023-01-24,12.09,103,98.1,10104.3
2023-01-25,12.09,103,95.57,9843.71
2023-01-26,12.09,103,96.5,9939.5
2023-01-27,12.09,103,97.31,10022.93
2023-01-30,12.09,103,97.48,10040.44
2023-01-31,12.09,103,96.87,9977.61
2023-02-01,12.09,103,98.71,10167.13
2023-02-02,12.09,103,105.8,10897.4
2023-02-03,12.09,103,102.93,10601.79
2023-02-06,12.09,103,102.4,10547.2
2023-02-07,12.09,103,103.22,10631.66
2023-02-08,12.09,103,102.05,10511.15
2023-02-09,12.09,103,100.0,10300.0
2023-02-10,12.09,103,95.45,9831.35
2023-02-13,12.09,103,94.74,9758.22
2023-02-14,12.09,103,94.43,9726.29
2023-02-15,12.09,103,94.49,9732.47
2023-02-16,12.09,103,95.37,9823.11
2023-02-17,12.09,103,94.85,9769.55
2023-02-21,12.09,103,93.0,9579.0
2023-02-22,12.09,103,91.7,9445.1
2023-02-23,12.09,103,91.92,9467.76
2023-02-24,12.09,103,89.44,9212.32
2023-02-27,12.09,103,89.87,9256.61
2023-02-28,12.09,103,89.33,9200.99
2023-03-01,12.09,103,89.98,9267.94
2023-03-02,12.09,103,89.66,9234.98
2023-03-03,12.09,103,92.48,9525.44
2023-03-06,12.09,103,94.02,9684.06
2023-03-07,12.09,103,94.98,9782.94
2023-03-08,12.09,103,94.12,9694.36
2023-03-09,12.09,103,94.05,9687.15
2023-03-10,12.09,103,92.17,9493.51
2023-03-13,12.09,103,90.09,9279.27
2023-03-14,12.09,103,92.56,9533.68
2023-03-15,12.09,103,93.22,9601.66
2023-03-16,12.09,103,96.2,9908.6
2023-03-17,12.09,103,100.26,10326.78
2023-03-20,12.09,103,100.12,10312.36
2023-03-21,12.09,103,101.25,10428.75
2023-03-22,12.09,103,104.27,10739.81
2023-03-23,12.09,103,105.06,10821.18
2023-03-24,12.09,103,104.99,10813.97
2023-03-27,12.09,103,104.62,10775.86
2023-03-28,12.09,103,102.44,10551.32
2023-03-29,12.09,103,102.28,10534.84
2023-03-30,12.09,103,100.91,10393.73
2023-03-31,12.09,103,101.3,10433.9
2023-04-03,12.09,103,102.39,10546.17
2023-04-04,12.09,103,104.33,10745.99
2023-04-05,12.09,103,105.78,10895.34
2023-04-06,12.09,103,105.26,10841.78
2023-04-10,12.09,103,106.98,11018.94
2023-04-11,12.09,103,106.55,10974.65
2023-04-12,12.09,103,106.58,10977.74
2023-04-13,12.09,103,105.84,10901.52
2023-04-14,12.09,103,106.89,11009.67
2023-04-17,12.09,103,104.66,10779.98
2023-04-18,12.09,103,106.49,10968.47
