Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,10000.0,0,96.97,0.0
2022-11-18,10000.0,0,98.77,0.0
2022-11-21,10000.0,0,97.29,0.0
2022-11-22,10000.0,0,95.95,0.0
2022-11-23,10000.0,0,97.09,0.0
2022-11-25,10000.0,0,98.24,0.0
2022-11-28,10000.0,0,97.04,0.0
2022-11-29,10000.0,0,95.73,0.0
2022-11-30,10000.0,0,94.82,0.0
2022-12-01,10000.0,0,101.02,0.0
2022-12-02,10000.0,0,99.05,0.0
2022-12-05,10000.0,0,99.4,0.0
2022-12-06,10000.0,0,99.3,0.0
2022-12-07,10000.0,0,96.41,0.0
2022-12-08,10000.0,0,95.38,0.0
2022-12-09,3811.18,66,93.77,6188.82
2022-12-12,3811.18,66,92.71,6118.86
2022-12-13,4202.22,62,97.76,6061.12
2022-12-14,3916.62,65,95.2,6188.0
2022-12-15,3544.1,69,93.13,6425.97
2022-12-16,4088.66,63,90.76,5717.88
2022-12-19,3908.14,65,90.26,5866.9
2022-12-20,3996.25,64,88.11,5639.04
2022-12-21,6223.25,39,89.08,3474.12
2022-12-22,5870.61,43,88.16,3790.88
2022-12-23,6044.83,41,87.11,3571.51
2022-12-27,5956.03,42,88.8,3729.6
2022-12-28,5869.05,43,86.98,3740.14
2022-12-29,5695.81,45,86.62,3897.9
2022-12-30,5347.89,49,86.98,4262.02
2023-01-03,5258.3,50,89.59,4479.5
2023-01-04,5167.95,51,90.35,4607.85
2023-01-05,5342.89,49,87.47,4286.03
2023-01-06,5603.26,46,86.79,3992.34
2023-01-09,5073.1,52,88.36,4594.72
2023-01-10,5417.02,48,85.98,4127.04
2023-01-11,5506.2,47,89.18,4191.46
2023-01-12,4957.32,53,91.48,4848.44
2023-01-13,4503.07,58,90.85,5269.3
2023-01-17,4411.01,59,92.06,5431.54
2023-01-18,4318.87,60,92.14,5528.4
2023-01-19,3683.83,67,90.72,6078.24
2023-01-20,3493.63,69,95.1,6561.9
2023-01-23,3101.83,73,97.95,7150.35
2023-01-24,3396.13,70,98.1,6867.0
2023-01-25,3682.84,67,95.57,6403.19
2023-01-26,4165.34,62,96.5,5983.0
2023-01-27,3873.41,65,97.31,6325.15
2023-01-30,3775.93,66,97.48,6433.68
2023-01-31,3969.67,64,96.87,6199.68
2023-02-01,3870.96,65,98.71,6416.15
2023-02-02,4188.36,62,105.8,6559.6
2023-02-03,3879.57,65,102.93,6690.45
2023-02-06,3981.97,64,102.4,6553.6
2023-02-07,4291.63,61,103.22,6296.42
2023-02-08,4495.73,59,102.05,6020.95
2023-02-09,5195.73,52,100.0,5200.0
2023-02-10,5386.63,50,95.45,4772.5
2023-02-13,4912.93,55,94.74,5210.7
2023-02-14,5385.08,50,94.43,4721.5
2023-02-15,5857.53,45,94.49,4252.05
2023-02-16,5857.53,45,95.37,4291.65
2023-02-17,5572.98,48,94.85,4552.8
2023-02-21,5386.98,50,93.0,4650.0
2023-02-22,5203.58,52,91.7,4768.4
2023-02-23,4743.98,57,91.92,5239.44
2023-02-24,5638.38,47,89.44,4203.68
2023-02-27,5548.51,48,89.87,4313.76
2023-02-28,5905.83,44,89.33,3930.52
2023-03-01,7705.43,24,89.98,2159.52
2023-03-02,7167.47,30,89.66,2689.8
2023-03-03,6057.71,42,92.48,3884.16
2023-03-06,6057.71,42,94.02,3948.84
2023-03-07,5582.81,47,94.98,4464.06
2023-03-08,5206.33,51,94.12,4800.12
2023-03-09,5864.68,44,94.05,4138.2
2023-03-10,5956.85,43,92.17,3963.31
2023-03-13,6046.94,42,90.09,3783.78
2023-03-14,5861.82,44,92.56,4072.64
2023-03-15,5768.6,45,93.22,4194.9
2023-03-16,5864.8,44,96.2,4232.8
2023-03-17,5463.76,48,100.26,4812.48
2023-03-20,5363.64,49,100.12,4905.88
2023-03-21,4553.64,57,101.25,5771.25
2023-03-22,4240.83,60,104.27,6256.2
2023-03-23,4240.83,60,105.06,6303.6
2023-03-24,4135.84,61,104.99,6404.39
