Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,10000.0,0,237.78,0.0
2022-11-18,10000.0,0,243.51,0.0
2022-11-21,10000.0,0,241.43,0.0
2022-11-22,10000.0,0,243.59,0.0
2022-11-23,10000.0,0,245.11,0.0
2022-11-25,10000.0,0,247.31,0.0
2022-11-28,10000.0,0,246.08,0.0
2022-11-29,9034.4,4,241.4,965.6
2022-11-30,8072.12,8,240.57,1924.56
2022-12-01,8325.99,7,253.87,1777.09
2022-12-02,8575.81,6,249.82,1498.92
2022-12-05,8827.82,5,252.01,1260.05
2022-12-06,7824.54,9,250.82,2257.38
2022-12-07,7090.05,12,244.83,2937.96
2022-12-08,6355.53,15,244.84,3672.6
2022-12-09,5621.43,18,244.7,4404.6
2022-12-12,6116.33,16,247.45,3959.2
2022-12-13,6639.71,14,261.69,3663.66
2022-12-14,6896.84,13,257.13,3342.69
2022-12-15,7150.56,12,253.72,3044.64
2022-12-16,6404.91,15,248.55,3728.25
2022-12-19,5670.33,18,244.86,4407.48
2022-12-20,5191.53,20,239.4,4788.0
2022-12-21,4708.15,22,241.69,5317.18
2022-12-22,4225.63,24,241.26,5790.24
2022-12-23,3753.41,26,236.11,6138.86
2022-12-27,3276.01,28,238.7,6683.6
2022-12-28,3039.12,29,236.89,6869.81
2022-12-29,2803.47,30,235.65,7069.5
2022-12-30,3518.1,27,238.21,6431.67
2023-01-03,4247.34,24,243.08,5833.92
2023-01-04,3782.78,26,232.28,6039.28
2023-01-05,3328.38,28,227.2,6361.6
2023-01-06,3105.38,29,223.0,6467.0
2023-01-09,2878.93,30,226.45,6793.5
2023-01-10,2651.17,31,227.76,7060.56
2023-01-11,3345.04,28,231.29,6476.12
2023-01-12,4050.82,25,235.26,5881.5
2023-01-13,4524.82,23,237.0,5451.0
2023-01-17,5000.76,21,237.97,4997.37
2023-01-18,5483.9,19,241.57,4589.83
2023-01-19,5016.34,21,233.78,4909.38
2023-01-20,4546.62,23,234.86,5401.78
2023-01-23,5028.82,21,241.1,5063.1
2023-01-24,5513.82,19,242.5,4607.5
2023-01-25,5044.86,21,234.48,4924.08
2023-01-26,5532.16,19,243.65,4629.35
2023-01-27,6030.14,17,248.99,4232.83
2023-01-30,6519.16,15,244.51,3667.65
2023-01-31,5788.81,18,243.45,4382.1
2023-02-01,6284.81,16,248.0,3968.0
2023-02-02,6802.45,14,258.82,3623.48
2023-02-03,7061.99,13,259.54,3374.02
2023-02-06,7319.43,12,257.44,3089.28
2023-02-07,7579.96,11,260.53,2865.83
2023-02-08,7853.16,10,273.2,2732.0
2023-02-09,8126.96,9,273.8,2464.2
2023-02-10,7342.37,12,261.53,3138.36
2023-02-13,7610.01,11,267.64,2944.04
2023-02-14,7882.68,10,272.67,2726.7
2023-02-15,8151.0,9,268.32,2414.88
2023-02-16,7358.94,12,264.02,3168.24
2023-02-17,6580.77,15,259.39,3890.85
2023-02-21,5817.33,18,254.48,4580.64
2023-02-22,5309.15,20,254.09,5081.8
2023-02-23,4798.03,22,255.56,5622.32
2023-02-24,4298.11,24,249.96,5999.04
2023-02-27,3793.19,26,252.46,6563.96
2023-02-28,3295.05,28,249.07,6973.96
2023-03-01,3044.29,29,250.76,7272.04
2023-03-02,2797.74,30,246.55,7396.5
2023-03-03,3554.31,27,252.19,6809.13
2023-03-06,4323.6,24,256.43,6154.32
2023-03-07,4836.2,22,256.3,5638.6
2023-03-08,5344.28,20,254.04,5080.8
2023-03-09,5855.92,18,255.82,4604.76
2023-03-10,5353.76,20,251.08,5021.6
2023-03-13,4858.96,22,247.4,5442.8
2023-03-14,5372.46,20,256.75,5135.0
2023-03-15,5892.42,18,259.98,4679.64
2023-03-16,6422.84,16,265.21,4243.36
2023-03-17,6979.36,14,278.26,3895.64
