Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,13.24,42,237.78,9986.76
2022-11-18,13.24,42,243.51,10227.42
2022-11-21,13.24,42,241.43,10140.06
2022-11-22,13.24,42,243.59,10230.78
2022-11-23,13.24,42,245.11,10294.62
2022-11-25,13.24,42,247.31,10387.02
2022-11-28,13.24,42,246.08,10335.36
2022-11-29,13.24,42,241.4,10138.8
2022-11-30,13.24,42,240.57,10103.94
2022-12-01,13.24,42,253.87,10662.54
2022-12-02,13.24,42,249.82,10492.44
2022-12-05,13.24,42,252.01,10584.42
2022-12-06,13.24,42,250.82,10534.44
2022-12-07,13.24,42,244.83,10282.86
2022-12-08,13.24,42,244.84,10283.28
2022-12-09,13.24,42,244.7,10277.4
2022-12-12,13.24,42,247.45,10392.9
2022-12-13,13.24,42,261.69,10990.98
2022-12-14,13.24,42,257.13,10799.46
2022-12-15,13.24,42,253.72,10656.24
2022-12-16,13.24,42,248.55,10439.1
2022-12-19,13.24,42,244.86,10284.12
2022-12-20,13.24,42,239.4,10054.8
2022-12-21,13.24,42,241.69,10150.98
2022-12-22,13.24,42,241.26,10132.92
2022-12-23,13.24,42,236.11,9916.62
2022-12-27,13.24,42,238.7,10025.4
2022-12-28,13.24,42,236.89,9949.38
2022-12-29,13.24,42,235.65,9897.3
2022-12-30,13.24,42,238.21,10004.82
2023-01-03,13.24,42,243.08,10209.36
2023-01-04,13.24,42,232.28,9755.76
2023-01-05,13.24,42,227.2,9542.4
2023-01-06,13.24,42,223.0,9366.0
2023-01-09,13.24,42,226.45,9510.9
2023-01-10,13.24,42,227.76,9565.92
2023-01-11,13.24,42,231.29,9714.18
2023-01-12,13.24,42,235.26,9880.92
2023-01-13,13.24,42,237.0,9954.0
2023-01-17,13.24,42,237.97,9994.74
2023-01-18,13.24,42,241.57,10145.94
2023-01-19,13.24,42,233.78,9818.76
2023-01-20,13.24,42,234.86,9864.12
2023-01-23,13.24,42,241.1,10126.2
2023-01-24,13.24,42,242.5,10185.0
2023-01-25,13.24,42,234.48,9848.16
2023-01-26,13.24,42,243.65,10233.3
2023-01-27,13.24,42,248.99,10457.58
2023-01-30,13.24,42,244.51,10269.42
2023-01-31,13.24,42,243.45,10224.9
2023-02-01,13.24,42,248.0,10416.0
2023-02-02,13.24,42,258.82,10870.44
2023-02-03,13.24,42,259.54,10900.68
2023-02-06,13.24,42,257.44,10812.48
2023-02-07,13.24,42,260.53,10942.26
2023-02-08,13.24,42,273.2,11474.4
2023-02-09,13.24,42,273.8,11499.6
2023-02-10,13.24,42,261.53,10984.26
2023-02-13,13.24,42,267.64,11240.88
2023-02-14,13.24,42,272.67,11452.14
2023-02-15,13.24,42,268.32,11269.44
2023-02-16,13.24,42,264.02,11088.84
2023-02-17,13.24,42,259.39,10894.38
2023-02-21,13.24,42,254.48,10688.16
2023-02-22,13.24,42,254.09,10671.78
2023-02-23,13.24,42,255.56,10733.52
2023-02-24,13.24,42,249.96,10498.32
2023-02-27,13.24,42,252.46,10603.32
2023-02-28,13.24,42,249.07,10460.94
2023-03-01,13.24,42,250.76,10531.92
2023-03-02,13.24,42,246.55,10355.1
2023-03-03,13.24,42,252.19,10591.98
2023-03-06,13.24,42,256.43,10770.06
2023-03-07,13.24,42,256.3,10764.6
2023-03-08,13.24,42,254.04,10669.68
2023-03-09,13.24,42,255.82,10744.44
2023-03-10,13.24,42,251.08,10545.36
2023-03-13,13.24,42,247.4,10390.8
2023-03-14,13.24,42,256.75,10783.5
2023-03-15,13.24,42,259.98,10919.16
2023-03-16,13.24,42,265.21,11138.82
2023-03-17,13.24,42,278.26,11686.92
2023-03-20,13.24,42,276.98,11633.16
2023-03-21,13.24,42,274.88,11544.96
2023-03-22,13.24,42,273.4,11482.8
2023-03-23,13.24,42,277.94,11673.48
2023-03-24,13.24,42,277.24,11644.08
2023-03-27,13.24,42,280.5,11781.0
2023-03-28,13.24,42,275.79,11583.18
2023-03-29,13.24,42,278.96,11716.32
2023-03-30,13.24,42,284.23,11937.66
2023-03-31,13.24,42,283.73,11916.66
2023-04-03,13.24,42,286.52,12033.84
2023-04-04,13.24,42,287.23,12063.66
2023-04-05,13.24,42,285.85,12005.7
2023-04-06,13.24,42,283.21,11894.82
2023-04-10,13.24,42,289.21,12146.82
2023-04-11,13.24,42,285.75,12001.5
2023-04-12,13.24,42,284.79,11961.18
