Date,Balance,Shares,Share Price,Value of Shares
2022-11-17,10000.0,0,237.78,0.0
2022-11-18,10000.0,0,243.51,0.0
2022-11-21,10000.0,0,241.43,0.0
2022-11-22,10000.0,0,243.59,0.0
2022-11-23,10000.0,0,245.11,0.0
2022-11-25,10000.0,0,247.31,0.0
2022-11-28,10000.0,0,246.08,0.0
2022-11-29,10000.0,0,241.4,0.0
2022-11-30,10000.0,0,240.57,0.0
2022-12-01,10000.0,0,253.87,0.0
2022-12-02,10000.0,0,249.82,0.0
2022-12-05,10000.0,0,252.01,0.0
2022-12-06,10000.0,0,250.82,0.0
2022-12-07,10000.0,0,244.83,0.0
2022-12-08,10000.0,0,244.84,0.0
2022-12-09,3637.8,26,244.7,6362.2
2022-12-12,3885.25,25,247.45,6186.25
2022-12-13,3361.87,27,261.69,7065.63
2022-12-14,3361.87,27,257.13,6942.51
2022-12-15,3361.87,27,253.72,6850.44
2022-12-16,4107.52,24,248.55,5965.2
2022-12-19,4107.52,24,244.86,5876.64
2022-12-20,4107.52,24,239.4,5745.6
2022-12-21,5799.35,17,241.69,4108.73
2022-12-22,6040.61,16,241.26,3860.16
2022-12-23,5804.5,17,236.11,4013.87
2022-12-27,6043.2,16,238.7,3819.2
2022-12-28,5806.31,17,236.89,4027.13
2022-12-29,5806.31,17,235.65,4006.05
2022-12-30,5568.1,18,238.21,4287.78
2023-01-03,5568.1,18,243.08,4375.44
2023-01-04,5568.1,18,232.28,4181.04
2023-01-05,6249.7,15,227.2,3408.0
2023-01-06,6026.7,16,223.0,3568.0
2023-01-09,5800.25,17,226.45,3849.65
2023-01-10,6028.01,16,227.76,3644.16
2023-01-11,6028.01,16,231.29,3700.64
2023-01-12,5557.49,18,235.26,4234.68
2023-01-13,5557.49,18,237.0,4266.0
2023-01-17,5557.49,18,237.97,4283.46
2023-01-18,5557.49,18,241.57,4348.26
2023-01-19,5791.27,17,233.78,3974.26
2023-01-20,5791.27,17,234.86,3992.62
2023-01-23,5791.27,17,241.1,4098.7
2023-01-24,6033.77,16,242.5,3880.0
2023-01-25,6033.77,16,234.48,3751.68
2023-01-26,5059.17,20,243.65,4873.0
2023-01-27,4312.2,23,248.99,5726.77
2023-01-30,4312.2,23,244.51,5623.73
2023-01-31,4799.1,21,243.45,5112.45
2023-02-01,4551.1,22,248.0,5456.0
2023-02-02,4809.92,21,258.82,5435.22
2023-02-03,4031.3,24,259.54,6228.96
2023-02-06,4288.74,23,257.44,5921.12
2023-02-07,3767.68,25,260.53,6513.25
2023-02-08,3494.48,26,273.2,7103.2
2023-02-09,3220.68,27,273.8,7392.6
2023-02-10,3220.68,27,261.53,7061.31
2023-02-13,2685.4,29,267.64,7761.56
2023-02-14,2958.07,28,272.67,7634.76
2023-02-15,3494.71,26,268.32,6976.32
2023-02-16,3494.71,26,264.02,6864.52
2023-02-17,3494.71,26,259.39,6744.14
2023-02-21,3240.23,27,254.48,6870.96
2023-02-22,3240.23,27,254.09,6860.43
2023-02-23,2984.67,28,255.56,7155.68
2023-02-24,3734.55,25,249.96,6249.0
2023-02-27,3482.09,26,252.46,6563.96
2023-02-28,4229.3,23,249.07,5728.61
2023-03-01,4981.58,20,250.76,5015.2
2023-03-02,4981.58,20,246.55,4931.0
2023-03-03,4981.58,20,252.19,5043.8
2023-03-06,4981.58,20,256.43,5128.6
2023-03-07,6006.78,16,256.3,4100.8
2023-03-08,5498.7,18,254.04,4572.72
2023-03-09,5498.7,18,255.82,4604.76
2023-03-10,4745.46,21,251.08,5272.68
2023-03-13,4745.46,21,247.4,5195.4
2023-03-14,4231.96,23,256.75,5905.25
2023-03-15,3971.98,24,259.98,6239.52
2023-03-16,3971.98,24,265.21,6365.04
2023-03-17,3137.2,27,278.26,7513.02
2023-03-20,2860.22,28,276.98,7755.44
